Year,Series,Value
2010,"Number of commercial bank branches per 100,000 adults",39.54
2011,"Number of commercial bank branches per 100,000 adults",41.5
2012,"Number of commercial bank branches per 100,000 adults",37.95
2013,"Number of commercial bank branches per 100,000 adults",37.99
2014,"Number of commercial bank branches per 100,000 adults",37.17
2015,"Number of commercial bank branches per 100,000 adults",37.27
2016,"Number of commercial bank branches per 100,000 adults",34.34
2017,"Number of commercial bank branches per 100,000 adults",32.12
2018,"Number of commercial bank branches per 100,000 adults",29.49
2019,"Number of commercial bank branches per 100,000 adults",27.32
2020,"Number of commercial bank branches per 100,000 adults",23.5
2021,"Number of commercial bank branches per 100,000 adults",22.91
2022,"Number of commercial bank branches per 100,000 adults",22.13
2023,"Number of commercial bank branches per 100,000 adults",21.66
2024,"Number of commercial bank branches per 100,000 adults",20.62
2010,"Number of automated teller machines (ATMs) per 100,000 adults",52.35
2011,"Number of automated teller machines (ATMs) per 100,000 adults",55.33
2012,"Number of automated teller machines (ATMs) per 100,000 adults",60.27
2013,"Number of automated teller machines (ATMs) per 100,000 adults",58.91
2014,"Number of automated teller machines (ATMs) per 100,000 adults",55.48
2015,"Number of automated teller machines (ATMs) per 100,000 adults",55.38
2016,"Number of automated teller machines (ATMs) per 100,000 adults",55.1
2017,"Number of automated teller machines (ATMs) per 100,000 adults",54.78
2018,"Number of automated teller machines (ATMs) per 100,000 adults",52.26
2019,"Number of automated teller machines (ATMs) per 100,000 adults",48.44
2020,"Number of automated teller machines (ATMs) per 100,000 adults",45.44
2021,"Number of automated teller machines (ATMs) per 100,000 adults",44.7
2022,"Number of automated teller machines (ATMs) per 100,000 adults",42.52
2023,"Number of automated teller machines (ATMs) per 100,000 adults",42.08
2024,"Number of automated teller machines (ATMs) per 100,000 adults",40.84
