Year,Series,Sex,Age,Broad citizenship,Form of exploitation,Units,Value
2024,1. Detected victims of human trafficking,Both Sexes,18+,Total,Total,Number of victims,13.0
2024,1. Detected victims of human trafficking,Both Sexes,0 - 17,Total,Total,Number of victims,0.0
2024,1. Detected victims of human trafficking,Both Sexes,Total,Maltese,Total,Number of victims,0.0
2024,1. Detected victims of human trafficking,Both Sexes,Total,Other EU,Total,Number of victims,0.0
2024,1. Detected victims of human trafficking,Both Sexes,Total,Non-EU,Total,Number of victims,13.0
2024,1. Detected victims of human trafficking,Both Sexes,Total,Total,Forced labour,Number of victims,2.0
2024,1. Detected victims of human trafficking,Both Sexes,Total,Total,Sexual exploitation,Number of victims,12.0
2024,1. Detected victims of human trafficking,Both Sexes,Total,Total,Other forms,Number of victims,0.0
2019,"2. Detected victims of human trafficking, per 100,000 population",,,,,"Per 100,000 mid-year population",1.79
2020,"2. Detected victims of human trafficking, per 100,000 population",,,,,"Per 100,000 mid-year population",2.33
2021,"2. Detected victims of human trafficking, per 100,000 population",,,,,"Per 100,000 mid-year population",0.77
2022,"2. Detected victims of human trafficking, per 100,000 population",,,,,"Per 100,000 mid-year population",4.14
2023,"2. Detected victims of human trafficking, per 100,000 population",,,,,"Per 100,000 mid-year population",1.09
2024,"2. Detected victims of human trafficking, per 100,000 population",,,,,"Per 100,000 mid-year population",2.29
