Year,Value,Series
2010,63.52,Proportion of domestic budget funded by domestic taxes
2011,62.07,Proportion of domestic budget funded by domestic taxes
2012,61.6,Proportion of domestic budget funded by domestic taxes
2013,63.72,Proportion of domestic budget funded by domestic taxes
2014,65.14,Proportion of domestic budget funded by domestic taxes
2015,63.63,Proportion of domestic budget funded by domestic taxes
2016,69.98,Proportion of domestic budget funded by domestic taxes
2017,73.42,Proportion of domestic budget funded by domestic taxes
2018,70.38,Proportion of domestic budget funded by domestic taxes
2019,69.42,Proportion of domestic budget funded by domestic taxes
2020,51.98,Proportion of domestic budget funded by domestic taxes
2021,55.95,Proportion of domestic budget funded by domestic taxes
2022,59.86,Proportion of domestic budget funded by domestic taxes
