Year,Value,Series
2010,93.3,1. Proportion of population using safely managed sanitation services
2011,92.4,1. Proportion of population using safely managed sanitation services
2012,91.6,1. Proportion of population using safely managed sanitation services
2013,90.7,1. Proportion of population using safely managed sanitation services
2014,89.9,1. Proportion of population using safely managed sanitation services
2015,89.0,1. Proportion of population using safely managed sanitation services
2016,88.2,1. Proportion of population using safely managed sanitation services
2017,88.2,1. Proportion of population using safely managed sanitation services
2018,88.2,1. Proportion of population using safely managed sanitation services
2019,88.2,1. Proportion of population using safely managed sanitation services
2020,88.2,1. Proportion of population using safely managed sanitation services
2021,88.2,1. Proportion of population using safely managed sanitation services
2022,88.2,1. Proportion of population using safely managed sanitation services
2010,0.0,2. Proportion of population practicing open defecation
2011,0.0,2. Proportion of population practicing open defecation
2012,0.0,2. Proportion of population practicing open defecation
2013,0.0,2. Proportion of population practicing open defecation
2014,0.0,2. Proportion of population practicing open defecation
2015,0.0,2. Proportion of population practicing open defecation
2016,0.0,2. Proportion of population practicing open defecation
2017,0.0,2. Proportion of population practicing open defecation
2018,0.0,2. Proportion of population practicing open defecation
2019,0.0,2. Proportion of population practicing open defecation
2020,0.0,2. Proportion of population practicing open defecation
2021,0.0,2. Proportion of population practicing open defecation
2022,0.0,2. Proportion of population practicing open defecation
2010,99.6,"3. Proportion having at least a bath, a shower or a toilet in their household"
2011,99.6,"3. Proportion having at least a bath, a shower or a toilet in their household"
2012,99.7,"3. Proportion having at least a bath, a shower or a toilet in their household"
2013,99.7,"3. Proportion having at least a bath, a shower or a toilet in their household"
2014,99.7,"3. Proportion having at least a bath, a shower or a toilet in their household"
2015,99.8,"3. Proportion having at least a bath, a shower or a toilet in their household"
2016,99.8,"3. Proportion having at least a bath, a shower or a toilet in their household"
2017,99.9,"3. Proportion having at least a bath, a shower or a toilet in their household"
2018,99.8,"3. Proportion having at least a bath, a shower or a toilet in their household"
2019,99.8,"3. Proportion having at least a bath, a shower or a toilet in their household"
2020,99.9,"3. Proportion having at least a bath, a shower or a toilet in their household"
2021,100.0,"3. Proportion having at least a bath, a shower or a toilet in their household"
2022,100.0,"3. Proportion having at least a bath, a shower or a toilet in their household"
2023,100.0,"3. Proportion having at least a bath, a shower or a toilet in their household"
