Year,Value,Series
2010,0.53,"Adolescent birth rate (per 1,000 women aged 10-14 years)"
2011,0.0,"Adolescent birth rate (per 1,000 women aged 10-14 years)"
2012,0.28,"Adolescent birth rate (per 1,000 women aged 10-14 years)"
2013,0.29,"Adolescent birth rate (per 1,000 women aged 10-14 years)"
2014,0.0,"Adolescent birth rate (per 1,000 women aged 10-14 years)"
2015,0.3,"Adolescent birth rate (per 1,000 women aged 10-14 years)"
2016,0.31,"Adolescent birth rate (per 1,000 women aged 10-14 years)"
2017,0.3,"Adolescent birth rate (per 1,000 women aged 10-14 years)"
2018,0.1,"Adolescent birth rate (per 1,000 women aged 10-14 years)"
2019,0.1,"Adolescent birth rate (per 1,000 women aged 10-14 years)"
2020,0.1,"Adolescent birth rate (per 1,000 women aged 10-14 years)"
2021,0.0,"Adolescent birth rate (per 1,000 women aged 10-14 years)"
2022,0.0,"Adolescent birth rate (per 1,000 women aged 10-14 years)"
2010,18.94,"Adolescent birth rate (per 1,000 women aged 15-19 years)"
2011,17.07,"Adolescent birth rate (per 1,000 women aged 15-19 years)"
2012,16.71,"Adolescent birth rate (per 1,000 women aged 15-19 years)"
2013,13.33,"Adolescent birth rate (per 1,000 women aged 15-19 years)"
2014,12.82,"Adolescent birth rate (per 1,000 women aged 15-19 years)"
2015,11.22,"Adolescent birth rate (per 1,000 women aged 15-19 years)"
2016,13.23,"Adolescent birth rate (per 1,000 women aged 15-19 years)"
2017,13.02,"Adolescent birth rate (per 1,000 women aged 15-19 years)"
2018,12.91,"Adolescent birth rate (per 1,000 women aged 15-19 years)"
2019,13.08,"Adolescent birth rate (per 1,000 women aged 15-19 years)"
2020,12.59,"Adolescent birth rate (per 1,000 women aged 15-19 years)"
2021,11.41,"Adolescent birth rate (per 1,000 women aged 15-19 years)"
2022,10.0,"Adolescent birth rate (per 1,000 women aged 15-19 years)"
