Year,Sex,Value
2011,Both Sexes,4.7
2012,Both Sexes,3.08
2013,Both Sexes,5.05
2014,Both Sexes,2.5
2015,Both Sexes,3.03
2016,Both Sexes,5.88
2017,Both Sexes,4.44
2018,Both Sexes,3.71
2019,Both Sexes,3.86
2020,Both Sexes,2.62
2021,Both Sexes,1.29
2022,Both Sexes,5.6
2011,Females,2.23
2012,Females,0.93
2013,Females,2.07
2014,Females,1.81
2015,Females,1.72
2016,Females,2.68
2017,Females,3.95
2018,Females,1.72
2019,Females,2.14
2020,Females,1.16
2021,Females,0.36
2022,Females,1.95
2011,Males,7.59
2012,Males,5.57
2013,Males,8.19
2014,Males,2.99
2015,Males,4.48
2016,Males,9.64
2017,Males,4.73
2018,Males,6.43
2019,Males,5.7
2020,Males,3.97
2021,Males,2.09
2022,Males,9.18
