Year,Series,Value
2017,Degree of integrated water resources management implementation (%),75
2020,Degree of integrated water resources management implementation (%),86
2023,Degree of integrated water resources management implementation (%),89
2017,"Degree of integrated water resources management implementation, enabling environment (%)",87
2020,"Degree of integrated water resources management implementation, enabling environment (%)",88
2023,"Degree of integrated water resources management implementation, enabling environment (%)",97
2017,"Degree of integrated water resources management implementation, financing (%)",65
2020,"Degree of integrated water resources management implementation, financing (%)",87
2023,"Degree of integrated water resources management implementation, financing (%)",73
2017,"Degree of integrated water resources management implementation, institutions and participation (%)",73
2020,"Degree of integrated water resources management implementation, institutions and participation (%)",82
2023,"Degree of integrated water resources management implementation, institutions and participation (%)",91
2017,"Degree of integrated water resources management implementation, management instruments (%)",76
2020,"Degree of integrated water resources management implementation, management instruments (%)",88
2023,"Degree of integrated water resources management implementation, management instruments (%)",93
