Year,Series,Value
2010,Proportion of domestic budget funded by domestic taxes,63.24
2011,Proportion of domestic budget funded by domestic taxes,61.79
2012,Proportion of domestic budget funded by domestic taxes,61.32
2013,Proportion of domestic budget funded by domestic taxes,63.4
2014,Proportion of domestic budget funded by domestic taxes,65.19
2015,Proportion of domestic budget funded by domestic taxes,64.81
2016,Proportion of domestic budget funded by domestic taxes,74.64
2017,Proportion of domestic budget funded by domestic taxes,80.28
2018,Proportion of domestic budget funded by domestic taxes,74.55
2019,Proportion of domestic budget funded by domestic taxes,72.86
2020,Proportion of domestic budget funded by domestic taxes,53.93
2021,Proportion of domestic budget funded by domestic taxes,57.33
2022,Proportion of domestic budget funded by domestic taxes,60.58
2023,Proportion of domestic budget funded by domestic taxes,60.76
