Year,Series,Units,Value
2010,MVA (current US$) as a proportion of GDP,current US$,11.24
2011,MVA (current US$) as a proportion of GDP,current US$,11.23
2012,MVA (current US$) as a proportion of GDP,current US$,10.94
2013,MVA (current US$) as a proportion of GDP,current US$,9.44
2014,MVA (current US$) as a proportion of GDP,current US$,8.52
2015,MVA (current US$) as a proportion of GDP,current US$,7.45
2016,MVA (current US$) as a proportion of GDP,current US$,7.19
2017,MVA (current US$) as a proportion of GDP,current US$,6.89
2018,MVA (current US$) as a proportion of GDP,current US$,6.78
2019,MVA (current US$) as a proportion of GDP,current US$,6.67
2020,MVA (current US$) as a proportion of GDP,current US$,7.29
2021,MVA (current US$) as a proportion of GDP,current US$,6.79
2022,MVA (current US$) as a proportion of GDP,current US$,7.07
2010,MVA per capita (constant 2015 US$),constant 2015 US$,2039.6
2011,MVA per capita (constant 2015 US$),constant 2015 US$,1983.42
2012,MVA per capita (constant 2015 US$),constant 2015 US$,2055.31
2013,MVA per capita (constant 2015 US$),constant 2015 US$,1917.12
2014,MVA per capita (constant 2015 US$),constant 2015 US$,1869.64
2015,MVA per capita (constant 2015 US$),constant 2015 US$,1808.69
2016,MVA per capita (constant 2015 US$),constant 2015 US$,1715.16
2017,MVA per capita (constant 2015 US$),constant 2015 US$,1761.57
2018,MVA per capita (constant 2015 US$),constant 2015 US$,1821.57
2019,MVA per capita (constant 2015 US$),constant 2015 US$,1878.19
2020,MVA per capita (constant 2015 US$),constant 2015 US$,1866.24
2021,MVA per capita (constant 2015 US$),constant 2015 US$,1885.89
2022,MVA per capita (constant 2015 US$),constant 2015 US$,2030.81
2023,MVA per capita (constant 2015 US$),constant 2015 US$,2062.35
