Year,Value,Units,Series
2017,2.636,Tonne kilometres (millions),1. Freight volume (aviation)
2018,4.815,Tonne kilometres (millions),1. Freight volume (aviation)
2019,6.727,Tonne kilometres (millions),1. Freight volume (aviation)
2020,2.904,Tonne kilometres (millions),1. Freight volume (aviation)
2021,2.751,Tonne kilometres (millions),1. Freight volume (aviation)
2022,3.356,Tonne kilometres (millions),1. Freight volume (aviation)
2017,2264.761,Revenue passenger kilometres (millions),2. Passenger volume (aviation)
2018,3336.935,Revenue passenger kilometres (millions),2. Passenger volume (aviation)
2019,3372.515,Revenue passenger kilometres (millions),2. Passenger volume (aviation)
2020,816.242,Revenue passenger kilometres (millions),2. Passenger volume (aviation)
2021,909.973,Revenue passenger kilometres (millions),2. Passenger volume (aviation)
2022,3959.913,Revenue passenger kilometres (millions),2. Passenger volume (aviation)
2010,2.414,Twenty-foot equivalent units - TEUs (millions),3. Container port traffic (maritime transport)
2011,2.407,Twenty-foot equivalent units - TEUs (millions),3. Container port traffic (maritime transport)
2012,2.59,Twenty-foot equivalent units - TEUs (millions),3. Container port traffic (maritime transport)
2013,2.794,Twenty-foot equivalent units - TEUs (millions),3. Container port traffic (maritime transport)
2014,2.924,Twenty-foot equivalent units - TEUs (millions),3. Container port traffic (maritime transport)
2015,3.121,Twenty-foot equivalent units - TEUs (millions),3. Container port traffic (maritime transport)
2016,3.152,Twenty-foot equivalent units - TEUs (millions),3. Container port traffic (maritime transport)
2017,3.246,Twenty-foot equivalent units - TEUs (millions),3. Container port traffic (maritime transport)
2018,3.414,Twenty-foot equivalent units - TEUs (millions),3. Container port traffic (maritime transport)
2019,2.813,Twenty-foot equivalent units - TEUs (millions),3. Container port traffic (maritime transport)
2020,2.539,Twenty-foot equivalent units - TEUs (millions),3. Container port traffic (maritime transport)
2021,3.076,Twenty-foot equivalent units - TEUs (millions),3. Container port traffic (maritime transport)
2022,2.994,Twenty-foot equivalent units - TEUs (millions),3. Container port traffic (maritime transport)
2023,2.907,Twenty-foot equivalent units - TEUs (millions),3. Container port traffic (maritime transport)
