Year,Value,Units,Series
2010,0.17,Percentage (%),Net ODA as a proportion of the OECD DAC donors’ GNI
2011,0.24,Percentage (%),Net ODA as a proportion of the OECD DAC donors’ GNI
2012,0.23,Percentage (%),Net ODA as a proportion of the OECD DAC donors’ GNI
2013,0.2,Percentage (%),Net ODA as a proportion of the OECD DAC donors’ GNI
2014,0.2,Percentage (%),Net ODA as a proportion of the OECD DAC donors’ GNI
2015,0.18,Percentage (%),Net ODA as a proportion of the OECD DAC donors’ GNI
2016,0.2,Percentage (%),Net ODA as a proportion of the OECD DAC donors’ GNI
2017,0.21,Percentage (%),Net ODA as a proportion of the OECD DAC donors’ GNI
2018,0.25,Percentage (%),Net ODA as a proportion of the OECD DAC donors’ GNI
2019,0.31,Percentage (%),Net ODA as a proportion of the OECD DAC donors’ GNI
2020,0.4,Percentage (%),Net ODA as a proportion of the OECD DAC donors’ GNI
2021,0.32,Percentage (%),Net ODA as a proportion of the OECD DAC donors’ GNI
2022,0.36,Percentage (%),Net ODA as a proportion of the OECD DAC donors’ GNI
2023,0.34,Percentage (%),Net ODA as a proportion of the OECD DAC donors’ GNI
2015,15.0,Euro (millions),Total ODA in millions of euros (current prices)
2016,19.0,Euro (millions),Total ODA in millions of euros (current prices)
2017,22.0,Euro (millions),Total ODA in millions of euros (current prices)
2018,28.0,Euro (millions),Total ODA in millions of euros (current prices)
2019,37.0,Euro (millions),Total ODA in millions of euros (current prices)
2020,47.0,Euro (millions),Total ODA in millions of euros (current prices)
2021,44.0,Euro (millions),Total ODA in millions of euros (current prices)
2022,57.0,Euro (millions),Total ODA in millions of euros (current prices)
2023,61.0,Euro (millions),Total ODA in millions of euros (current prices)
