Year,Value,Units,Series
2010,0.53,"Per 1,000 women aged 10-14 years",Adolescent birth rate (10-14 years)
2011,0.0,"Per 1,000 women aged 10-14 years",Adolescent birth rate (10-14 years)
2012,0.28,"Per 1,000 women aged 10-14 years",Adolescent birth rate (10-14 years)
2013,0.29,"Per 1,000 women aged 10-14 years",Adolescent birth rate (10-14 years)
2014,0.0,"Per 1,000 women aged 10-14 years",Adolescent birth rate (10-14 years)
2015,0.3,"Per 1,000 women aged 10-14 years",Adolescent birth rate (10-14 years)
2016,0.31,"Per 1,000 women aged 10-14 years",Adolescent birth rate (10-14 years)
2017,0.3,"Per 1,000 women aged 10-14 years",Adolescent birth rate (10-14 years)
2018,0.1,"Per 1,000 women aged 10-14 years",Adolescent birth rate (10-14 years)
2019,0.1,"Per 1,000 women aged 10-14 years",Adolescent birth rate (10-14 years)
2020,0.1,"Per 1,000 women aged 10-14 years",Adolescent birth rate (10-14 years)
2021,0.0,"Per 1,000 women aged 10-14 years",Adolescent birth rate (10-14 years)
2022,0.0,"Per 1,000 women aged 10-14 years",Adolescent birth rate (10-14 years)
2023,0.09,"Per 1,000 women aged 10-14 years",Adolescent birth rate (10-14 years)
2010,18.94,"Per 1,000 women aged 15-19 years",Adolescent birth rate (15-19 years)
2011,17.07,"Per 1,000 women aged 15-19 years",Adolescent birth rate (15-19 years)
2012,16.71,"Per 1,000 women aged 15-19 years",Adolescent birth rate (15-19 years)
2013,13.33,"Per 1,000 women aged 15-19 years",Adolescent birth rate (15-19 years)
2014,12.82,"Per 1,000 women aged 15-19 years",Adolescent birth rate (15-19 years)
2015,11.22,"Per 1,000 women aged 15-19 years",Adolescent birth rate (15-19 years)
2016,13.23,"Per 1,000 women aged 15-19 years",Adolescent birth rate (15-19 years)
2017,13.02,"Per 1,000 women aged 15-19 years",Adolescent birth rate (15-19 years)
2018,12.91,"Per 1,000 women aged 15-19 years",Adolescent birth rate (15-19 years)
2019,13.08,"Per 1,000 women aged 15-19 years",Adolescent birth rate (15-19 years)
2020,12.59,"Per 1,000 women aged 15-19 years",Adolescent birth rate (15-19 years)
2021,11.41,"Per 1,000 women aged 15-19 years",Adolescent birth rate (15-19 years)
2022,10.0,"Per 1,000 women aged 15-19 years",Adolescent birth rate (15-19 years)
2023,9.79,"Per 1,000 women aged 15-19 years",Adolescent birth rate (15-19 years)
