Year,Value,Series
2010,63.24,Proportion of domestic budget funded by domestic taxes
2011,61.79,Proportion of domestic budget funded by domestic taxes
2012,61.32,Proportion of domestic budget funded by domestic taxes
2013,63.4,Proportion of domestic budget funded by domestic taxes
2014,65.19,Proportion of domestic budget funded by domestic taxes
2015,64.81,Proportion of domestic budget funded by domestic taxes
2016,74.64,Proportion of domestic budget funded by domestic taxes
2017,80.28,Proportion of domestic budget funded by domestic taxes
2018,74.55,Proportion of domestic budget funded by domestic taxes
2019,72.86,Proportion of domestic budget funded by domestic taxes
2020,53.93,Proportion of domestic budget funded by domestic taxes
2021,57.33,Proportion of domestic budget funded by domestic taxes
2022,60.58,Proportion of domestic budget funded by domestic taxes
2023,60.76,Proportion of domestic budget funded by domestic taxes
