Year,Value,Units,Series
2010,11.24,current US$,MVA (current US$) as a proportion of GDP
2011,11.23,current US$,MVA (current US$) as a proportion of GDP
2012,10.94,current US$,MVA (current US$) as a proportion of GDP
2013,9.44,current US$,MVA (current US$) as a proportion of GDP
2014,8.52,current US$,MVA (current US$) as a proportion of GDP
2015,7.45,current US$,MVA (current US$) as a proportion of GDP
2016,7.19,current US$,MVA (current US$) as a proportion of GDP
2017,6.89,current US$,MVA (current US$) as a proportion of GDP
2018,6.78,current US$,MVA (current US$) as a proportion of GDP
2019,6.67,current US$,MVA (current US$) as a proportion of GDP
2020,7.29,current US$,MVA (current US$) as a proportion of GDP
2021,6.79,current US$,MVA (current US$) as a proportion of GDP
2022,7.07,current US$,MVA (current US$) as a proportion of GDP
2010,2039.6,constant 2015 US$,MVA per capita (constant 2015 US$)
2011,1983.42,constant 2015 US$,MVA per capita (constant 2015 US$)
2012,2055.31,constant 2015 US$,MVA per capita (constant 2015 US$)
2013,1917.12,constant 2015 US$,MVA per capita (constant 2015 US$)
2014,1869.64,constant 2015 US$,MVA per capita (constant 2015 US$)
2015,1808.69,constant 2015 US$,MVA per capita (constant 2015 US$)
2016,1715.16,constant 2015 US$,MVA per capita (constant 2015 US$)
2017,1761.57,constant 2015 US$,MVA per capita (constant 2015 US$)
2018,1821.57,constant 2015 US$,MVA per capita (constant 2015 US$)
2019,1878.19,constant 2015 US$,MVA per capita (constant 2015 US$)
2020,1866.24,constant 2015 US$,MVA per capita (constant 2015 US$)
2021,1885.89,constant 2015 US$,MVA per capita (constant 2015 US$)
2022,2030.81,constant 2015 US$,MVA per capita (constant 2015 US$)
2023,2062.35,constant 2015 US$,MVA per capita (constant 2015 US$)
