Year,Value,Units,Series
2010,37.61,Percentage,Total government revenue as a proportion of GDP
2011,38.55,Percentage,Total government revenue as a proportion of GDP
2012,38.35,Percentage,Total government revenue as a proportion of GDP
2013,38.14,Percentage,Total government revenue as a proportion of GDP
2014,38.4,Percentage,Total government revenue as a proportion of GDP
2015,37.33,Percentage,Total government revenue as a proportion of GDP
2016,37.21,Percentage,Total government revenue as a proportion of GDP
2017,37.42,Percentage,Total government revenue as a proportion of GDP
2018,37.54,Percentage,Total government revenue as a proportion of GDP
2019,35.78,Percentage,Total government revenue as a proportion of GDP
2020,35.28,Percentage,Total government revenue as a proportion of GDP
2021,35.21,Percentage,Total government revenue as a proportion of GDP
2022,33.84,Percentage,Total government revenue as a proportion of GDP
2010,2563.4,Euro (millions),Total government revenue in local currency
2011,2669.1,Euro (millions),Total government revenue in local currency
2012,2824.1,Euro (millions),Total government revenue in local currency
2013,3030.1,Euro (millions),Total government revenue in local currency
2014,3360.3,Euro (millions),Total government revenue in local currency
2015,3732.2,Euro (millions),Total government revenue in local currency
2016,3921.9,Euro (millions),Total government revenue in local currency
2017,4466.7,Euro (millions),Total government revenue in local currency
2018,4896.6,Euro (millions),Total government revenue in local currency
2019,5111.1,Euro (millions),Total government revenue in local currency
2020,4711.8,Euro (millions),Total government revenue in local currency
2021,5383.8,Euro (millions),Total government revenue in local currency
2022,5824.8,Euro (millions),Total government revenue in local currency
