Year,Value,Units,Series
2010,188.0,Number of deaths,2. Premature deaths due to exposure to fine particulate matter
2011,243.0,Number of deaths,2. Premature deaths due to exposure to fine particulate matter
2012,181.0,Number of deaths,2. Premature deaths due to exposure to fine particulate matter
2013,173.0,Number of deaths,2. Premature deaths due to exposure to fine particulate matter
2014,162.0,Number of deaths,2. Premature deaths due to exposure to fine particulate matter
2015,199.0,Number of deaths,2. Premature deaths due to exposure to fine particulate matter
2016,150.0,Number of deaths,2. Premature deaths due to exposure to fine particulate matter
2017,173.0,Number of deaths,2. Premature deaths due to exposure to fine particulate matter
2018,196.0,Number of deaths,2. Premature deaths due to exposure to fine particulate matter
2019,190.0,Number of deaths,2. Premature deaths due to exposure to fine particulate matter
2020,151.0,Number of deaths,2. Premature deaths due to exposure to fine particulate matter
2021,196.0,Number of deaths,2. Premature deaths due to exposure to fine particulate matter
2022,173.0,Number of deaths,2. Premature deaths due to exposure to fine particulate matter
2010,45.0,"Rate per 100,000 people",2. Premature deaths due to exposure to fine particulate matter
2011,58.0,"Rate per 100,000 people",2. Premature deaths due to exposure to fine particulate matter
2012,43.0,"Rate per 100,000 people",2. Premature deaths due to exposure to fine particulate matter
2013,41.0,"Rate per 100,000 people",2. Premature deaths due to exposure to fine particulate matter
2014,37.0,"Rate per 100,000 people",2. Premature deaths due to exposure to fine particulate matter
2015,45.0,"Rate per 100,000 people",2. Premature deaths due to exposure to fine particulate matter
2016,33.0,"Rate per 100,000 people",2. Premature deaths due to exposure to fine particulate matter
2017,37.0,"Rate per 100,000 people",2. Premature deaths due to exposure to fine particulate matter
2018,41.0,"Rate per 100,000 people",2. Premature deaths due to exposure to fine particulate matter
2019,38.0,"Rate per 100,000 people",2. Premature deaths due to exposure to fine particulate matter
2020,29.0,"Rate per 100,000 people",2. Premature deaths due to exposure to fine particulate matter
2021,38.0,"Rate per 100,000 people",2. Premature deaths due to exposure to fine particulate matter
2022,33.0,"Rate per 100,000 people",2. Premature deaths due to exposure to fine particulate matter
2014,115.3,Grams per kilometre,3. Average CO2 emissions per km from new passenger cars
2015,113.3,Grams per kilometre,3. Average CO2 emissions per km from new passenger cars
2016,111.8,Grams per kilometre,3. Average CO2 emissions per km from new passenger cars
2017,134.5,Grams per kilometre,3. Average CO2 emissions per km from new passenger cars
2018,130.5,Grams per kilometre,3. Average CO2 emissions per km from new passenger cars
2019,132.2,Grams per kilometre,3. Average CO2 emissions per km from new passenger cars
2020,128.1,Grams per kilometre,3. Average CO2 emissions per km from new passenger cars
2021,107.5,Grams per kilometre,3. Average CO2 emissions per km from new passenger cars
2022,91.4,Grams per kilometre,3. Average CO2 emissions per km from new passenger cars
2023,91.3,Grams per kilometre,3. Average CO2 emissions per km from new passenger cars
