Year,Value,Units,Series
2010,78.0,Index,1. Coverage of essential health services
2011,79.0,Index,1. Coverage of essential health services
2012,80.0,Index,1. Coverage of essential health services
2013,81.0,Index,1. Coverage of essential health services
2014,81.0,Index,1. Coverage of essential health services
2015,82.0,Index,1. Coverage of essential health services
2016,82.0,Index,1. Coverage of essential health services
2017,82.0,Index,1. Coverage of essential health services
2018,80.0,Index,1. Coverage of essential health services
2019,81.0,Index,1. Coverage of essential health services
2020,81.0,Index,1. Coverage of essential health services
2021,82.0,Index,1. Coverage of essential health services
2022,82.0,Index,1. Coverage of essential health services
2023,82.0,Index,1. Coverage of essential health services
