Year,Value,Series
2015,25.6,Proportion of women in senior and middle management positions (%)
2016,27.6,Proportion of women in senior and middle management positions (%)
2017,27.9,Proportion of women in senior and middle management positions (%)
2018,27.6,Proportion of women in senior and middle management positions (%)
2019,28.9,Proportion of women in senior and middle management positions (%)
2020,26.0,Proportion of women in senior and middle management positions (%)
2021,29.9,Proportion of women in senior and middle management positions (%)
2022,33.4,Proportion of women in senior and middle management positions (%)
2023,34.4,Proportion of women in senior and middle management positions (%)
2024,35.8,Proportion of women in senior and middle management positions (%)
