Year,Series,Units,Value
2010,Net ODA as a proportion of the OECD DAC donors’ GNI,Percentage (%),0.17
2011,Net ODA as a proportion of the OECD DAC donors’ GNI,Percentage (%),0.24
2012,Net ODA as a proportion of the OECD DAC donors’ GNI,Percentage (%),0.23
2013,Net ODA as a proportion of the OECD DAC donors’ GNI,Percentage (%),0.2
2014,Net ODA as a proportion of the OECD DAC donors’ GNI,Percentage (%),0.2
2015,Net ODA as a proportion of the OECD DAC donors’ GNI,Percentage (%),0.18
2016,Net ODA as a proportion of the OECD DAC donors’ GNI,Percentage (%),0.2
2017,Net ODA as a proportion of the OECD DAC donors’ GNI,Percentage (%),0.21
2018,Net ODA as a proportion of the OECD DAC donors’ GNI,Percentage (%),0.25
2019,Net ODA as a proportion of the OECD DAC donors’ GNI,Percentage (%),0.31
2020,Net ODA as a proportion of the OECD DAC donors’ GNI,Percentage (%),0.4
2021,Net ODA as a proportion of the OECD DAC donors’ GNI,Percentage (%),0.32
2022,Net ODA as a proportion of the OECD DAC donors’ GNI,Percentage (%),0.36
2023,Net ODA as a proportion of the OECD DAC donors’ GNI,Percentage (%),0.34
2015,Total ODA in millions of euros (current prices),Euro (millions),15.0
2016,Total ODA in millions of euros (current prices),Euro (millions),19.0
2017,Total ODA in millions of euros (current prices),Euro (millions),22.0
2018,Total ODA in millions of euros (current prices),Euro (millions),28.0
2019,Total ODA in millions of euros (current prices),Euro (millions),37.0
2020,Total ODA in millions of euros (current prices),Euro (millions),47.0
2021,Total ODA in millions of euros (current prices),Euro (millions),44.0
2022,Total ODA in millions of euros (current prices),Euro (millions),57.0
2023,Total ODA in millions of euros (current prices),Euro (millions),61.0
