Year,Sex,Value
2010,Both Sexes,0.2
2010,Females,0.4
2010,Males,0.3
2011,Females,0.0
2011,Both Sexes,0.0
2011,Males,0.0
2012,Females,0.0
2012,Males,0.0
2012,Both Sexes,0.0
2013,Males,0.0
2013,Females,0.0
2013,Both Sexes,0.0
2014,Females,0.0
2014,Males,0.0
2014,Both Sexes,0.0
2015,Females,0.1
2015,Males,0.1
2015,Both Sexes,0.1
2016,Females,0.0
2016,Males,0.0
2016,Both Sexes,0.0
2017,Females,0.0
2017,Males,0.0
2017,Both Sexes,0.0
2018,Females,0.0
2018,Males,0.0
2018,Both Sexes,0.0
2019,Males,0.0
2019,Both Sexes,0.0
2019,Females,0.0
2020,Females,0.3
2020,Males,0.6
2020,Both Sexes,0.3
