Year,Series,Age,Units,Sex,Value
2022,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Both Sexes,2.9
2023,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Both Sexes,2.9
2024,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Both Sexes,2.5
2010,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Females,7.1
2011,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Females,7.1
2012,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Females,7.2
2013,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Females,6.1
2014,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Females,5.1
2015,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Females,5.4
2016,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Females,5.2
2017,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Females,4.3
2018,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Females,3.7
2019,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Females,4.7
2020,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Females,5.1
2021,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Females,3.6
2022,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Females,3.1
2023,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Females,3.2
2024,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Females,3.0
2010,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Females,11.8
2011,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Females,12.9
2012,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Females,14.5
2013,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Females,10.4
2014,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Females,9.5
2015,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Females,9.8
2016,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Females,11.4
2017,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Females,9.9
2018,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Females,6.7
2019,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Females,8.6
2020,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Females,8.3
2021,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Females,6.0
2022,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Females,6.0
2024,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Females,8.4
2010,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Females,5.8
2011,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Females,5.6
2012,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Females,5.5
2013,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Females,5.2
2014,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Females,4.2
2015,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Females,4.5
2016,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Females,4.1
2017,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Females,3.3
2018,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Females,3.2
2019,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Females,4.1
2020,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Females,4.7
2021,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Females,3.3
2022,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Females,2.8
2023,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Females,2.9
2024,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Females,2.4
2010,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Males,6.7
2011,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Males,6.0
2012,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Males,5.6
2013,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Males,6.1
2014,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Males,6.1
2015,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Males,5.4
2016,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Males,4.4
2017,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Males,3.8
2018,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Males,4.1
2019,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Males,3.7
2020,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Males,4.7
2021,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Males,3.9
2022,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Males,3.7
2023,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Males,3.7
2024,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Males,3.2
2010,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Males,14.4
2011,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Males,13.7
2012,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Males,13.3
2013,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Males,14.7
2014,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Males,13.7
2015,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Males,13.2
2016,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Males,10.2
2017,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Males,11.1
2018,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Males,11.7
2019,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Males,11.3
2020,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Males,14.1
2021,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Males,12.9
2022,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Males,11.6
2023,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Males,11.6
2024,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Males,9.6
2010,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Males,5.5
2011,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Males,4.7
2012,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Males,4.4
2013,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Males,4.8
2014,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Males,5.1
2015,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Males,4.3
2016,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Males,3.6
2017,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Males,2.9
2018,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Males,3.2
2019,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Males,2.8
2020,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Males,3.6
2021,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Males,3.0
2022,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Males,2.9
2023,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Males,2.9
2024,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Males,2.6
2010,"2. Employment rate (20-64 years), by sex",,Percentage (%),Both Sexes,60.1
2011,"2. Employment rate (20-64 years), by sex",,Percentage (%),Both Sexes,61.6
2012,"2. Employment rate (20-64 years), by sex",,Percentage (%),Both Sexes,63.9
2013,"2. Employment rate (20-64 years), by sex",,Percentage (%),Both Sexes,66.2
2014,"2. Employment rate (20-64 years), by sex",,Percentage (%),Both Sexes,67.9
2015,"2. Employment rate (20-64 years), by sex",,Percentage (%),Both Sexes,69.0
2016,"2. Employment rate (20-64 years), by sex",,Percentage (%),Both Sexes,71.1
2017,"2. Employment rate (20-64 years), by sex",,Percentage (%),Both Sexes,73.0
2018,"2. Employment rate (20-64 years), by sex",,Percentage (%),Both Sexes,74.9
2019,"2. Employment rate (20-64 years), by sex",,Percentage (%),Both Sexes,75.6
2020,"2. Employment rate (20-64 years), by sex",,Percentage (%),Both Sexes,76.0
2021,"2. Employment rate (20-64 years), by sex",,Percentage (%),Both Sexes,77.8
2022,"2. Employment rate (20-64 years), by sex",,Percentage (%),Both Sexes,80.1
2023,"2. Employment rate (20-64 years), by sex",,Percentage (%),Both Sexes,81.3
2024,"2. Employment rate (20-64 years), by sex",,Percentage (%),Both Sexes,83.0
2010,"2. Employment rate (20-64 years), by sex",,Percentage (%),Females,41.6
2011,"2. Employment rate (20-64 years), by sex",,Percentage (%),Females,43.8
2012,"2. Employment rate (20-64 years), by sex",,Percentage (%),Females,48.0
2013,"2. Employment rate (20-64 years), by sex",,Percentage (%),Females,51.7
2014,"2. Employment rate (20-64 years), by sex",,Percentage (%),Females,54.3
2015,"2. Employment rate (20-64 years), by sex",,Percentage (%),Females,55.3
2016,"2. Employment rate (20-64 years), by sex",,Percentage (%),Females,58.0
2017,"2. Employment rate (20-64 years), by sex",,Percentage (%),Females,60.6
2018,"2. Employment rate (20-64 years), by sex",,Percentage (%),Females,63.2
2019,"2. Employment rate (20-64 years), by sex",,Percentage (%),Females,63.9
2020,"2. Employment rate (20-64 years), by sex",,Percentage (%),Females,66.0
2021,"2. Employment rate (20-64 years), by sex",,Percentage (%),Females,68.4
2022,"2. Employment rate (20-64 years), by sex",,Percentage (%),Females,72.9
2023,"2. Employment rate (20-64 years), by sex",,Percentage (%),Females,73.6
2024,"2. Employment rate (20-64 years), by sex",,Percentage (%),Females,75.6
2010,"2. Employment rate (20-64 years), by sex",,Percentage (%),Males,78.2
2011,"2. Employment rate (20-64 years), by sex",,Percentage (%),Males,79.0
2012,"2. Employment rate (20-64 years), by sex",,Percentage (%),Males,79.4
2013,"2. Employment rate (20-64 years), by sex",,Percentage (%),Males,80.3
2014,"2. Employment rate (20-64 years), by sex",,Percentage (%),Males,81.1
2015,"2. Employment rate (20-64 years), by sex",,Percentage (%),Males,82.1
2016,"2. Employment rate (20-64 years), by sex",,Percentage (%),Males,83.5
2017,"2. Employment rate (20-64 years), by sex",,Percentage (%),Males,84.7
2018,"2. Employment rate (20-64 years), by sex",,Percentage (%),Males,85.5
2019,"2. Employment rate (20-64 years), by sex",,Percentage (%),Males,85.9
2020,"2. Employment rate (20-64 years), by sex",,Percentage (%),Males,84.9
2021,"2. Employment rate (20-64 years), by sex",,Percentage (%),Males,86.0
2022,"2. Employment rate (20-64 years), by sex",,Percentage (%),Males,86.2
2023,"2. Employment rate (20-64 years), by sex",,Percentage (%),Males,87.7
2024,"2. Employment rate (20-64 years), by sex",,Percentage (%),Males,89.0
