Year,Series,Units,Value
2010,Domestic Material Consumption (DMC),Metric tonnes (thousands),2970.0
2011,Domestic Material Consumption (DMC),Metric tonnes (thousands),3914.0
2012,Domestic Material Consumption (DMC),Metric tonnes (thousands),4457.0
2013,Domestic Material Consumption (DMC),Metric tonnes (thousands),3722.0
2014,Domestic Material Consumption (DMC),Metric tonnes (thousands),5156.0
2015,Domestic Material Consumption (DMC),Metric tonnes (thousands),6144.0
2016,Domestic Material Consumption (DMC),Metric tonnes (thousands),6178.0
2017,Domestic Material Consumption (DMC),Metric tonnes (thousands),5325.0
2018,Domestic Material Consumption (DMC),Metric tonnes (thousands),6325.0
2019,Domestic Material Consumption (DMC),Metric tonnes (thousands),6157.0
2020,Domestic Material Consumption (DMC),Metric tonnes (thousands),6740.0
2021,Domestic Material Consumption (DMC),Metric tonnes (thousands),6136.0
2022,Domestic Material Consumption (DMC),Metric tonnes (thousands),5762.0
2023,Domestic Material Consumption (DMC),Metric tonnes (thousands),6146.0
2024,Domestic Material Consumption (DMC),Metric tonnes (thousands),5948.0
2010,DMC per capita,Tonnes per person,7.16
2011,DMC per capita,Tonnes per person,9.4
2012,DMC per capita,Tonnes per person,10.62
2013,DMC per capita,Tonnes per person,8.75
2014,DMC per capita,Tonnes per person,11.9
2015,DMC per capita,Tonnes per person,13.85
2016,DMC per capita,Tonnes per person,13.61
2017,DMC per capita,Tonnes per person,11.42
2018,DMC per capita,Tonnes per person,13.09
2019,DMC per capita,Tonnes per person,12.23
2020,DMC per capita,Tonnes per person,13.09
2021,DMC per capita,Tonnes per person,11.85
2022,DMC per capita,Tonnes per person,10.85
2023,DMC per capita,Tonnes per person,11.12
2024,DMC per capita,Tonnes per person,10.46
2010,GDP per unit of DMC (Resource Productivity),EUR per kilogramme,2.9
2011,GDP per unit of DMC (Resource Productivity),EUR per kilogramme,2.22
2012,GDP per unit of DMC (Resource Productivity),EUR per kilogramme,2.03
2013,GDP per unit of DMC (Resource Productivity),EUR per kilogramme,2.58
2014,GDP per unit of DMC (Resource Productivity),EUR per kilogramme,2.01
2015,GDP per unit of DMC (Resource Productivity),EUR per kilogramme,1.85
2016,GDP per unit of DMC (Resource Productivity),EUR per kilogramme,1.91
2017,GDP per unit of DMC (Resource Productivity),EUR per kilogramme,2.5
2018,GDP per unit of DMC (Resource Productivity),EUR per kilogramme,2.26
2019,GDP per unit of DMC (Resource Productivity),EUR per kilogramme,2.42
2020,GDP per unit of DMC (Resource Productivity),EUR per kilogramme,2.13
2021,GDP per unit of DMC (Resource Productivity),EUR per kilogramme,2.65
2022,GDP per unit of DMC (Resource Productivity),EUR per kilogramme,2.9
2023,GDP per unit of DMC (Resource Productivity),EUR per kilogramme,3.01
