Year,Series,Units,Value
2010,Domestic Material Consumption (DMC),Metric tonnes (thousands),2970.31
2011,Domestic Material Consumption (DMC),Metric tonnes (thousands),3913.55
2012,Domestic Material Consumption (DMC),Metric tonnes (thousands),4457.43
2013,Domestic Material Consumption (DMC),Metric tonnes (thousands),3722.05
2014,Domestic Material Consumption (DMC),Metric tonnes (thousands),5156.42
2015,Domestic Material Consumption (DMC),Metric tonnes (thousands),6144.28
2016,Domestic Material Consumption (DMC),Metric tonnes (thousands),6184.69
2017,Domestic Material Consumption (DMC),Metric tonnes (thousands),5329.19
2018,Domestic Material Consumption (DMC),Metric tonnes (thousands),6289.93
2019,Domestic Material Consumption (DMC),Metric tonnes (thousands),5993.31
2020,Domestic Material Consumption (DMC),Metric tonnes (thousands),6593.21
2021,Domestic Material Consumption (DMC),Metric tonnes (thousands),5825.7
2022,Domestic Material Consumption (DMC),Metric tonnes (thousands),5385.15
2010,DMC per capita,Tonnes per person,7.17
2011,DMC per capita,Tonnes per person,9.4
2012,DMC per capita,Tonnes per person,10.63
2013,DMC per capita,Tonnes per person,8.76
2014,DMC per capita,Tonnes per person,11.9
2015,DMC per capita,Tonnes per person,13.83
2016,DMC per capita,Tonnes per person,13.61
2017,DMC per capita,Tonnes per person,11.41
2018,DMC per capita,Tonnes per person,13.0
2019,DMC per capita,Tonnes per person,11.89
2020,DMC per capita,Tonnes per person,12.79
2021,DMC per capita,Tonnes per person,11.24
2022,DMC per capita,Tonnes per person,10.14
2010,GDP per unit of DMC (Resource Productivity),EUR per kilogramme,2.89
2011,GDP per unit of DMC (Resource Productivity),EUR per kilogramme,2.22
2012,GDP per unit of DMC (Resource Productivity),EUR per kilogramme,2.03
2013,GDP per unit of DMC (Resource Productivity),EUR per kilogramme,2.58
2014,GDP per unit of DMC (Resource Productivity),EUR per kilogramme,2.0
2015,GDP per unit of DMC (Resource Productivity),EUR per kilogramme,1.84
2016,GDP per unit of DMC (Resource Productivity),EUR per kilogramme,1.91
2017,GDP per unit of DMC (Resource Productivity),EUR per kilogramme,2.5
2018,GDP per unit of DMC (Resource Productivity),EUR per kilogramme,2.27
2019,GDP per unit of DMC (Resource Productivity),EUR per kilogramme,2.48
2020,GDP per unit of DMC (Resource Productivity),EUR per kilogramme,2.18
2021,GDP per unit of DMC (Resource Productivity),EUR per kilogramme,2.79
2022,GDP per unit of DMC (Resource Productivity),EUR per kilogramme,3.15
2010,Domestic Material Consumption (DMC) in Index form,Index (2010=100),100.0
2011,Domestic Material Consumption (DMC) in Index form,Index (2010=100),132.0
2012,Domestic Material Consumption (DMC) in Index form,Index (2010=100),150.0
2013,Domestic Material Consumption (DMC) in Index form,Index (2010=100),125.0
2014,Domestic Material Consumption (DMC) in Index form,Index (2010=100),174.0
2015,Domestic Material Consumption (DMC) in Index form,Index (2010=100),207.0
2016,Domestic Material Consumption (DMC) in Index form,Index (2010=100),208.0
2017,Domestic Material Consumption (DMC) in Index form,Index (2010=100),179.0
2018,Domestic Material Consumption (DMC) in Index form,Index (2010=100),212.0
2019,Domestic Material Consumption (DMC) in Index form,Index (2010=100),202.0
2020,Domestic Material Consumption (DMC) in Index form,Index (2010=100),222.0
2021,Domestic Material Consumption (DMC) in Index form,Index (2010=100),196.0
2022,Domestic Material Consumption (DMC) in Index form,Index (2010=100),181.0
2010,DMC per capita in Index form,Index (2010=100),100.0
2011,DMC per capita in Index form,Index (2010=100),131.0
2012,DMC per capita in Index form,Index (2010=100),148.0
2013,DMC per capita in Index form,Index (2010=100),122.0
2014,DMC per capita in Index form,Index (2010=100),166.0
2015,DMC per capita in Index form,Index (2010=100),193.0
2016,DMC per capita in Index form,Index (2010=100),190.0
2017,DMC per capita in Index form,Index (2010=100),159.0
2018,DMC per capita in Index form,Index (2010=100),181.0
2019,DMC per capita in Index form,Index (2010=100),166.0
2020,DMC per capita in Index form,Index (2010=100),178.0
2021,DMC per capita in Index form,Index (2010=100),157.0
2022,DMC per capita in Index form,Index (2010=100),141.0
2010,GDP per unit of DMC (Resource Productivity) in Index form,Index (2010=100),100.0
2011,GDP per unit of DMC (Resource Productivity) in Index form,Index (2010=100),77.0
2012,GDP per unit of DMC (Resource Productivity) in Index form,Index (2010=100),70.0
2013,GDP per unit of DMC (Resource Productivity) in Index form,Index (2010=100),89.0
2014,GDP per unit of DMC (Resource Productivity) in Index form,Index (2010=100),69.0
2015,GDP per unit of DMC (Resource Productivity) in Index form,Index (2010=100),64.0
2016,GDP per unit of DMC (Resource Productivity) in Index form,Index (2010=100),66.0
2017,GDP per unit of DMC (Resource Productivity) in Index form,Index (2010=100),86.0
2018,GDP per unit of DMC (Resource Productivity) in Index form,Index (2010=100),78.0
2019,GDP per unit of DMC (Resource Productivity) in Index form,Index (2010=100),86.0
2020,GDP per unit of DMC (Resource Productivity) in Index form,Index (2010=100),75.0
2021,GDP per unit of DMC (Resource Productivity) in Index form,Index (2010=100),97.0
2022,GDP per unit of DMC (Resource Productivity) in Index form,Index (2010=100),109.0
