Year,Series,Units,Value
2010,Forest area as a proportion of total land area,Percentage,1.09
2015,Forest area as a proportion of total land area,Percentage,1.09
2016,Forest area as a proportion of total land area,Percentage,1.19
2017,Forest area as a proportion of total land area,Percentage,1.31
2018,Forest area as a proportion of total land area,Percentage,1.44
2019,Forest area as a proportion of total land area,Percentage,1.44
2020,Forest area as a proportion of total land area,Percentage,1.44
2010,Forest area,thousands of hectares,0.35
2015,Forest area,thousands of hectares,0.35
2016,Forest area,thousands of hectares,0.38
2017,Forest area,thousands of hectares,0.42
2018,Forest area,thousands of hectares,0.46
2019,Forest area,thousands of hectares,0.46
2020,Forest area,thousands of hectares,0.46
2010,Land area,thousands of hectares,32.0
2015,Land area,thousands of hectares,32.0
2016,Land area,thousands of hectares,32.0
2017,Land area,thousands of hectares,32.0
2018,Land area,thousands of hectares,32.0
2019,Land area,thousands of hectares,32.0
2020,Land area,thousands of hectares,32.0
