Year,Series,Activity,Units,Value
2010,1. Carbon dioxide emissions from fuel combustion,Manufacturing excluding specific sectors,Millions of tonnes,0.03
2011,1. Carbon dioxide emissions from fuel combustion,Manufacturing excluding specific sectors,Millions of tonnes,0.02
2012,1. Carbon dioxide emissions from fuel combustion,Manufacturing excluding specific sectors,Millions of tonnes,0.03
2013,1. Carbon dioxide emissions from fuel combustion,Manufacturing excluding specific sectors,Millions of tonnes,0.05
2014,1. Carbon dioxide emissions from fuel combustion,Manufacturing excluding specific sectors,Millions of tonnes,0.06
2015,1. Carbon dioxide emissions from fuel combustion,Manufacturing excluding specific sectors,Millions of tonnes,0.05
2016,1. Carbon dioxide emissions from fuel combustion,Manufacturing excluding specific sectors,Millions of tonnes,0.05
2017,1. Carbon dioxide emissions from fuel combustion,Manufacturing excluding specific sectors,Millions of tonnes,0.05
2018,1. Carbon dioxide emissions from fuel combustion,Manufacturing excluding specific sectors,Millions of tonnes,0.04
2019,1. Carbon dioxide emissions from fuel combustion,Manufacturing excluding specific sectors,Millions of tonnes,0.04
2020,1. Carbon dioxide emissions from fuel combustion,Manufacturing excluding specific sectors,Millions of tonnes,0.04
2021,1. Carbon dioxide emissions from fuel combustion,Manufacturing excluding specific sectors,Millions of tonnes,0.04
2022,1. Carbon dioxide emissions from fuel combustion,Manufacturing excluding specific sectors,Millions of tonnes,0.04
2010,1. Carbon dioxide emissions from fuel combustion,All Activities,Millions of tonnes,2.59
2011,1. Carbon dioxide emissions from fuel combustion,All Activities,Millions of tonnes,2.57
2012,1. Carbon dioxide emissions from fuel combustion,All Activities,Millions of tonnes,2.72
2013,1. Carbon dioxide emissions from fuel combustion,All Activities,Millions of tonnes,2.37
2014,1. Carbon dioxide emissions from fuel combustion,All Activities,Millions of tonnes,2.36
2015,1. Carbon dioxide emissions from fuel combustion,All Activities,Millions of tonnes,1.66
2016,1. Carbon dioxide emissions from fuel combustion,All Activities,Millions of tonnes,1.35
2017,1. Carbon dioxide emissions from fuel combustion,All Activities,Millions of tonnes,1.52
2018,1. Carbon dioxide emissions from fuel combustion,All Activities,Millions of tonnes,1.55
2019,1. Carbon dioxide emissions from fuel combustion,All Activities,Millions of tonnes,1.66
2020,1. Carbon dioxide emissions from fuel combustion,All Activities,Millions of tonnes,1.61
2021,1. Carbon dioxide emissions from fuel combustion,All Activities,Millions of tonnes,1.62
2022,1. Carbon dioxide emissions from fuel combustion,All Activities,Millions of tonnes,1.78
2010,2. Carbon dioxide emissions per unit of GDP PPP,,Kgs of CO2 per constant 2021 US$,0.16
2011,2. Carbon dioxide emissions per unit of GDP PPP,,Kgs of CO2 per constant 2021 US$,0.16
2012,2. Carbon dioxide emissions per unit of GDP PPP,,Kgs of CO2 per constant 2021 US$,0.16
2013,2. Carbon dioxide emissions per unit of GDP PPP,,Kgs of CO2 per constant 2021 US$,0.13
2014,2. Carbon dioxide emissions per unit of GDP PPP,,Kgs of CO2 per constant 2021 US$,0.12
2015,2. Carbon dioxide emissions per unit of GDP PPP,,Kgs of CO2 per constant 2021 US$,0.08
2016,2. Carbon dioxide emissions per unit of GDP PPP,,Kgs of CO2 per constant 2021 US$,0.06
2017,2. Carbon dioxide emissions per unit of GDP PPP,,Kgs of CO2 per constant 2021 US$,0.06
2018,2. Carbon dioxide emissions per unit of GDP PPP,,Kgs of CO2 per constant 2021 US$,0.06
2019,2. Carbon dioxide emissions per unit of GDP PPP,,Kgs of CO2 per constant 2021 US$,0.06
2020,2. Carbon dioxide emissions per unit of GDP PPP,,Kgs of CO2 per constant 2021 US$,0.06
2021,2. Carbon dioxide emissions per unit of GDP PPP,,Kgs of CO2 per constant 2021 US$,0.05
2022,2. Carbon dioxide emissions per unit of GDP PPP,,Kgs of CO2 per constant 2021 US$,0.06
2010,3. Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added,,Kgs of CO2 per constant 2015 US$,0.04
2011,3. Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added,,Kgs of CO2 per constant 2015 US$,0.02
2012,3. Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added,,Kgs of CO2 per constant 2015 US$,0.03
