Year,Series,Units,Value
2010,Total government revenue as a proportion of GDP,Percentage,37.61
2011,Total government revenue as a proportion of GDP,Percentage,38.55
2012,Total government revenue as a proportion of GDP,Percentage,38.35
2013,Total government revenue as a proportion of GDP,Percentage,38.14
2014,Total government revenue as a proportion of GDP,Percentage,38.4
2015,Total government revenue as a proportion of GDP,Percentage,37.33
2016,Total government revenue as a proportion of GDP,Percentage,37.21
2017,Total government revenue as a proportion of GDP,Percentage,37.42
2018,Total government revenue as a proportion of GDP,Percentage,37.54
2019,Total government revenue as a proportion of GDP,Percentage,35.78
2020,Total government revenue as a proportion of GDP,Percentage,35.28
2021,Total government revenue as a proportion of GDP,Percentage,35.21
2022,Total government revenue as a proportion of GDP,Percentage,33.84
2010,Total government revenue in local currency,Euro (millions),2563.4
2011,Total government revenue in local currency,Euro (millions),2669.1
2012,Total government revenue in local currency,Euro (millions),2824.1
2013,Total government revenue in local currency,Euro (millions),3030.1
2014,Total government revenue in local currency,Euro (millions),3360.3
2015,Total government revenue in local currency,Euro (millions),3732.2
2016,Total government revenue in local currency,Euro (millions),3921.9
2017,Total government revenue in local currency,Euro (millions),4466.7
2018,Total government revenue in local currency,Euro (millions),4896.6
2019,Total government revenue in local currency,Euro (millions),5111.1
2020,Total government revenue in local currency,Euro (millions),4711.8
2021,Total government revenue in local currency,Euro (millions),5383.8
2022,Total government revenue in local currency,Euro (millions),5824.8
