Year,Sex,Value
2011,Both Sexes,98.8
2011,Females,100.0
2011,Males,97.7
2012,Both Sexes,98.8
2012,Females,100.0
2012,Males,97.8
2013,Both Sexes,98.9
2013,Females,100.0
2013,Males,97.8
2014,Both Sexes,96.5
2014,Females,94.1
2014,Males,98.9
2015,Both Sexes,99.4
2015,Females,98.8
2015,Males,100.0
2016,Both Sexes,98.0
2016,Females,96.3
2016,Males,99.6
2017,Both Sexes,96.5
2017,Females,96.8
2017,Males,96.3
2018,Both Sexes,95.3
2018,Females,94.6
2018,Males,95.9
2019,Both Sexes,94.9
2019,Females,95.1
2019,Males,94.7
2020,Both Sexes,90.8
2020,Females,90.7
2020,Males,90.8
2021,Both Sexes,88.7
2021,Females,89.7
2021,Males,87.8
2022,Both Sexes,89.3
2022,Females,88.6
2022,Males,89.9
