Year,Series,Value
2015,Ecological footprint per person,4.09
2016,Ecological footprint per person,4.35
2017,Ecological footprint per person,4.73
2018,Ecological footprint per person,4.76
2019,Ecological footprint per person,4.36
2020,Ecological footprint per person,4.02
2021,Ecological footprint per person,4.01
2022,Ecological footprint per person,3.72
2015,Biocapacity per person,0.58
2016,Biocapacity per person,0.57
2017,Biocapacity per person,0.56
2018,Biocapacity per person,0.51
2019,Biocapacity per person,0.5
2020,Biocapacity per person,0.48
2021,Biocapacity per person,0.47
2022,Biocapacity per person,0.47
2015,Biocapacity deficit,-3.51
2016,Biocapacity deficit,-3.78
2017,Biocapacity deficit,-4.17
2018,Biocapacity deficit,-4.25
2019,Biocapacity deficit,-3.87
2020,Biocapacity deficit,-3.53
2021,Biocapacity deficit,-3.54
2022,Biocapacity deficit,-3.25
