Year,Value,Series
2015,5.64,Ecological footprint per person
2016,6.16,Ecological footprint per person
2017,5.78,Ecological footprint per person
2018,6.08,Ecological footprint per person
2019,5.74,Ecological footprint per person
2020,5.17,Ecological footprint per person
2021,4.86,Ecological footprint per person
2022,5.06,Ecological footprint per person
2023,5.1,Ecological footprint per person
2024,5.12,Ecological footprint per person
2015,0.53,Biocapacity per person
2016,0.52,Biocapacity per person
2017,0.51,Biocapacity per person
2018,0.47,Biocapacity per person
2019,0.46,Biocapacity per person
2020,0.44,Biocapacity per person
2021,0.43,Biocapacity per person
2022,0.43,Biocapacity per person
2023,0.42,Biocapacity per person
2024,0.42,Biocapacity per person
2015,-5.11,Biocapacity deficit
2016,-5.64,Biocapacity deficit
2017,-5.27,Biocapacity deficit
2018,-5.61,Biocapacity deficit
2019,-5.28,Biocapacity deficit
2020,-4.73,Biocapacity deficit
2021,-4.43,Biocapacity deficit
2022,-4.64,Biocapacity deficit
2023,-4.67,Biocapacity deficit
2024,-4.7,Biocapacity deficit
