Year,Value,Series
2010,49.7,1. Labour share of GDP
2011,51.6,1. Labour share of GDP
2012,51.1,1. Labour share of GDP
2013,50.8,1. Labour share of GDP
2014,49.1,1. Labour share of GDP
2015,47.7,1. Labour share of GDP
2016,49.6,1. Labour share of GDP
2017,47.1,1. Labour share of GDP
2018,48.9,1. Labour share of GDP
2019,50.8,1. Labour share of GDP
2020,52.4,1. Labour share of GDP
2021,49.9,1. Labour share of GDP
2022,50.4,1. Labour share of GDP
2023,49.5,1. Labour share of GDP
2024,50.5,1. Labour share of GDP
