Year,Value,Units,Series
2010,1.09,Percentage,Forest area as a proportion of total land area
2015,1.09,Percentage,Forest area as a proportion of total land area
2020,1.44,Percentage,Forest area as a proportion of total land area
2025,1.47,Percentage,Forest area as a proportion of total land area
2010,0.35,thousands of hectares,Forest area
2015,0.35,thousands of hectares,Forest area
2020,0.46,thousands of hectares,Forest area
2025,0.47,thousands of hectares,Forest area
2010,32.0,thousands of hectares,Land area
2015,32.0,thousands of hectares,Land area
2020,32.0,thousands of hectares,Land area
2025,32.0,thousands of hectares,Land area
