Year,Value,Units,Series
2010,7.2,Percentage (%),2. Gender pay gap in unadjusted form
2011,7.7,Percentage (%),2. Gender pay gap in unadjusted form
2012,9.5,Percentage (%),2. Gender pay gap in unadjusted form
2013,9.7,Percentage (%),2. Gender pay gap in unadjusted form
2014,10.6,Percentage (%),2. Gender pay gap in unadjusted form
2015,10.7,Percentage (%),2. Gender pay gap in unadjusted form
2016,11.6,Percentage (%),2. Gender pay gap in unadjusted form
2017,13.2,Percentage (%),2. Gender pay gap in unadjusted form
2018,13.0,Percentage (%),2. Gender pay gap in unadjusted form
2019,10.5,Percentage (%),2. Gender pay gap in unadjusted form
2020,7.9,Percentage (%),2. Gender pay gap in unadjusted form
2021,7.2,Percentage (%),2. Gender pay gap in unadjusted form
2022,5.8,Percentage (%),2. Gender pay gap in unadjusted form
2023,5.1,Percentage (%),2. Gender pay gap in unadjusted form
2010,36.6,Percentage (%),3. Gender employment gap
2011,35.2,Percentage (%),3. Gender employment gap
2012,31.4,Percentage (%),3. Gender employment gap
2013,28.6,Percentage (%),3. Gender employment gap
2014,26.8,Percentage (%),3. Gender employment gap
2015,26.8,Percentage (%),3. Gender employment gap
2016,25.5,Percentage (%),3. Gender employment gap
2017,24.1,Percentage (%),3. Gender employment gap
2018,22.3,Percentage (%),3. Gender employment gap
2019,22.0,Percentage (%),3. Gender employment gap
2020,18.9,Percentage (%),3. Gender employment gap
2021,17.6,Percentage (%),3. Gender employment gap
2022,13.3,Percentage (%),3. Gender employment gap
2023,14.1,Percentage (%),3. Gender employment gap
