Year,Value,Series
2010,39.54,"Number of commercial bank branches per 100,000 adults"
2011,41.5,"Number of commercial bank branches per 100,000 adults"
2012,37.95,"Number of commercial bank branches per 100,000 adults"
2013,37.99,"Number of commercial bank branches per 100,000 adults"
2014,37.17,"Number of commercial bank branches per 100,000 adults"
2015,37.27,"Number of commercial bank branches per 100,000 adults"
2016,34.34,"Number of commercial bank branches per 100,000 adults"
2017,32.12,"Number of commercial bank branches per 100,000 adults"
2018,29.49,"Number of commercial bank branches per 100,000 adults"
2019,27.32,"Number of commercial bank branches per 100,000 adults"
2020,23.5,"Number of commercial bank branches per 100,000 adults"
2021,22.91,"Number of commercial bank branches per 100,000 adults"
2022,22.13,"Number of commercial bank branches per 100,000 adults"
2023,21.66,"Number of commercial bank branches per 100,000 adults"
2024,20.62,"Number of commercial bank branches per 100,000 adults"
2010,52.35,"Number of automated teller machines (ATMs) per 100,000 adults"
2011,55.33,"Number of automated teller machines (ATMs) per 100,000 adults"
2012,60.27,"Number of automated teller machines (ATMs) per 100,000 adults"
2013,58.91,"Number of automated teller machines (ATMs) per 100,000 adults"
2014,55.48,"Number of automated teller machines (ATMs) per 100,000 adults"
2015,55.38,"Number of automated teller machines (ATMs) per 100,000 adults"
2016,55.1,"Number of automated teller machines (ATMs) per 100,000 adults"
2017,54.78,"Number of automated teller machines (ATMs) per 100,000 adults"
2018,52.26,"Number of automated teller machines (ATMs) per 100,000 adults"
2019,48.44,"Number of automated teller machines (ATMs) per 100,000 adults"
2020,45.44,"Number of automated teller machines (ATMs) per 100,000 adults"
2021,44.7,"Number of automated teller machines (ATMs) per 100,000 adults"
2022,42.52,"Number of automated teller machines (ATMs) per 100,000 adults"
2023,42.08,"Number of automated teller machines (ATMs) per 100,000 adults"
2024,40.84,"Number of automated teller machines (ATMs) per 100,000 adults"
