Year,Value,Units,Series
2015,3.86,Score,"1. Progress toward productive and sustainable agriculture, trend score"
2016,3.86,Score,"1. Progress toward productive and sustainable agriculture, trend score"
2017,3.71,Score,"1. Progress toward productive and sustainable agriculture, trend score"
2018,3.43,Score,"1. Progress toward productive and sustainable agriculture, trend score"
2019,3.71,Score,"1. Progress toward productive and sustainable agriculture, trend score"
2020,3.71,Score,"1. Progress toward productive and sustainable agriculture, trend score"
2021,3.86,Score,"1. Progress toward productive and sustainable agriculture, trend score"
2022,4.0,Score,"1. Progress toward productive and sustainable agriculture, trend score"
2023,4.0,Score,"1. Progress toward productive and sustainable agriculture, trend score"
2024,4.0,Score,"1. Progress toward productive and sustainable agriculture, trend score"
2015,4.14,Score,"2. Progress toward productive and sustainable agriculture, current status score"
2016,4.14,Score,"2. Progress toward productive and sustainable agriculture, current status score"
2017,4.29,Score,"2. Progress toward productive and sustainable agriculture, current status score"
2018,4.14,Score,"2. Progress toward productive and sustainable agriculture, current status score"
2019,4.14,Score,"2. Progress toward productive and sustainable agriculture, current status score"
2020,4.14,Score,"2. Progress toward productive and sustainable agriculture, current status score"
2021,4.14,Score,"2. Progress toward productive and sustainable agriculture, current status score"
2022,4.29,Score,"2. Progress toward productive and sustainable agriculture, current status score"
2023,4.29,Score,"2. Progress toward productive and sustainable agriculture, current status score"
2024,4.29,Score,"2. Progress toward productive and sustainable agriculture, current status score"
2015,0.25,Percentage (%),3. Area under organic farming
2016,0.21,Percentage (%),3. Area under organic farming
2017,0.35,Percentage (%),3. Area under organic farming
2018,0.41,Percentage (%),3. Area under organic farming
2019,0.47,Percentage (%),3. Area under organic farming
2020,0.62,Percentage (%),3. Area under organic farming
2021,0.61,Percentage (%),3. Area under organic farming
2022,0.62,Percentage (%),3. Area under organic farming
2023,0.78,Percentage (%),3. Area under organic farming
2024,0.77,Percentage (%),3. Area under organic farming
2015,11.69,Hectares (thousands),4. Utilised agricultural area
2016,11.58,Hectares (thousands),4. Utilised agricultural area
2017,11.58,Hectares (thousands),4. Utilised agricultural area
2018,11.58,Hectares (thousands),4. Utilised agricultural area
2019,11.58,Hectares (thousands),4. Utilised agricultural area
2020,10.7,Hectares (thousands),4. Utilised agricultural area
2021,10.73,Hectares (thousands),4. Utilised agricultural area
2022,10.73,Hectares (thousands),4. Utilised agricultural area
2023,10.22,Hectares (thousands),4. Utilised agricultural area
2024,10.31,Hectares (thousands),4. Utilised agricultural area
