Year,Value,Units,Series
2010,2970.0,Metric tonnes (thousands),Domestic Material Consumption (DMC)
2011,3914.0,Metric tonnes (thousands),Domestic Material Consumption (DMC)
2012,4457.0,Metric tonnes (thousands),Domestic Material Consumption (DMC)
2013,3722.0,Metric tonnes (thousands),Domestic Material Consumption (DMC)
2014,5156.0,Metric tonnes (thousands),Domestic Material Consumption (DMC)
2015,6144.0,Metric tonnes (thousands),Domestic Material Consumption (DMC)
2016,6178.0,Metric tonnes (thousands),Domestic Material Consumption (DMC)
2017,5325.0,Metric tonnes (thousands),Domestic Material Consumption (DMC)
2018,6325.0,Metric tonnes (thousands),Domestic Material Consumption (DMC)
2019,6157.0,Metric tonnes (thousands),Domestic Material Consumption (DMC)
2020,6740.0,Metric tonnes (thousands),Domestic Material Consumption (DMC)
2021,6136.0,Metric tonnes (thousands),Domestic Material Consumption (DMC)
2022,5762.0,Metric tonnes (thousands),Domestic Material Consumption (DMC)
2023,6146.0,Metric tonnes (thousands),Domestic Material Consumption (DMC)
2024,5948.0,Metric tonnes (thousands),Domestic Material Consumption (DMC)
2010,7.16,Tonnes per person,DMC per capita
2011,9.4,Tonnes per person,DMC per capita
2012,10.62,Tonnes per person,DMC per capita
2013,8.75,Tonnes per person,DMC per capita
2014,11.9,Tonnes per person,DMC per capita
2015,13.85,Tonnes per person,DMC per capita
2016,13.61,Tonnes per person,DMC per capita
2017,11.42,Tonnes per person,DMC per capita
2018,13.09,Tonnes per person,DMC per capita
2019,12.23,Tonnes per person,DMC per capita
2020,13.09,Tonnes per person,DMC per capita
2021,11.85,Tonnes per person,DMC per capita
2022,10.85,Tonnes per person,DMC per capita
2023,11.12,Tonnes per person,DMC per capita
2024,10.46,Tonnes per person,DMC per capita
2010,2.9,EUR per kilogramme,GDP per unit of DMC (Resource Productivity)
2011,2.22,EUR per kilogramme,GDP per unit of DMC (Resource Productivity)
2012,2.03,EUR per kilogramme,GDP per unit of DMC (Resource Productivity)
2013,2.58,EUR per kilogramme,GDP per unit of DMC (Resource Productivity)
2014,2.01,EUR per kilogramme,GDP per unit of DMC (Resource Productivity)
2015,1.85,EUR per kilogramme,GDP per unit of DMC (Resource Productivity)
2016,1.91,EUR per kilogramme,GDP per unit of DMC (Resource Productivity)
2017,2.5,EUR per kilogramme,GDP per unit of DMC (Resource Productivity)
2018,2.26,EUR per kilogramme,GDP per unit of DMC (Resource Productivity)
2019,2.42,EUR per kilogramme,GDP per unit of DMC (Resource Productivity)
2020,2.13,EUR per kilogramme,GDP per unit of DMC (Resource Productivity)
2021,2.65,EUR per kilogramme,GDP per unit of DMC (Resource Productivity)
2022,2.9,EUR per kilogramme,GDP per unit of DMC (Resource Productivity)
2023,3.01,EUR per kilogramme,GDP per unit of DMC (Resource Productivity)
2024,3.3,EUR per kilogramme,GDP per unit of DMC (Resource Productivity)
2010,100.0,Index (2010=100),Domestic Material Consumption (DMC) in Index form
2011,132.0,Index (2010=100),Domestic Material Consumption (DMC) in Index form
2012,150.0,Index (2010=100),Domestic Material Consumption (DMC) in Index form
2013,125.0,Index (2010=100),Domestic Material Consumption (DMC) in Index form
2014,174.0,Index (2010=100),Domestic Material Consumption (DMC) in Index form
2015,207.0,Index (2010=100),Domestic Material Consumption (DMC) in Index form
2016,208.0,Index (2010=100),Domestic Material Consumption (DMC) in Index form
2017,179.0,Index (2010=100),Domestic Material Consumption (DMC) in Index form
2018,213.0,Index (2010=100),Domestic Material Consumption (DMC) in Index form
2019,207.0,Index (2010=100),Domestic Material Consumption (DMC) in Index form
2020,227.0,Index (2010=100),Domestic Material Consumption (DMC) in Index form
2021,207.0,Index (2010=100),Domestic Material Consumption (DMC) in Index form
2022,194.0,Index (2010=100),Domestic Material Consumption (DMC) in Index form
2023,207.0,Index (2010=100),Domestic Material Consumption (DMC) in Index form
2024,200.0,Index (2010=100),Domestic Material Consumption (DMC) in Index form
2010,100.0,Index (2010=100),DMC per capita in Index form
2011,131.0,Index (2010=100),DMC per capita in Index form
2012,148.0,Index (2010=100),DMC per capita in Index form
2013,122.0,Index (2010=100),DMC per capita in Index form
2014,166.0,Index (2010=100),DMC per capita in Index form
2015,193.0,Index (2010=100),DMC per capita in Index form
2016,190.0,Index (2010=100),DMC per capita in Index form
2017,159.0,Index (2010=100),DMC per capita in Index form
2018,183.0,Index (2010=100),DMC per capita in Index form
2019,171.0,Index (2010=100),DMC per capita in Index form
2020,183.0,Index (2010=100),DMC per capita in Index form
2021,165.0,Index (2010=100),DMC per capita in Index form
2022,151.0,Index (2010=100),DMC per capita in Index form
2023,155.0,Index (2010=100),DMC per capita in Index form
