Year,Value,Units,Series
2016,43253238.0,Number of commuters,1. Use of public transport (number of commuters)
2017,48053045.0,Number of commuters,1. Use of public transport (number of commuters)
2018,53467404.0,Number of commuters,1. Use of public transport (number of commuters)
2019,57409385.0,Number of commuters,1. Use of public transport (number of commuters)
2020,33778974.0,Number of commuters,1. Use of public transport (number of commuters)
2021,35207171.0,Number of commuters,1. Use of public transport (number of commuters)
2022,49222424.0,Number of commuters,1. Use of public transport (number of commuters)
2023,67241760.0,Number of commuters,1. Use of public transport (number of commuters)
2024,75773333.0,Number of commuters,1. Use of public transport (number of commuters)
2015,741.0,"Cars per 1,000 residents","2. Number of passenger cars per 1,000 residents aged 18 and over"
2016,743.7,"Cars per 1,000 residents","2. Number of passenger cars per 1,000 residents aged 18 and over"
2017,738.4,"Cars per 1,000 residents","2. Number of passenger cars per 1,000 residents aged 18 and over"
2018,727.5,"Cars per 1,000 residents","2. Number of passenger cars per 1,000 residents aged 18 and over"
2019,708.7,"Cars per 1,000 residents","2. Number of passenger cars per 1,000 residents aged 18 and over"
2020,708.9,"Cars per 1,000 residents","2. Number of passenger cars per 1,000 residents aged 18 and over"
2021,712.8,"Cars per 1,000 residents","2. Number of passenger cars per 1,000 residents aged 18 and over"
2022,689.5,"Cars per 1,000 residents","2. Number of passenger cars per 1,000 residents aged 18 and over"
2023,673.9,"Cars per 1,000 residents","2. Number of passenger cars per 1,000 residents aged 18 and over"
2024,673.0,"Cars per 1,000 residents","2. Number of passenger cars per 1,000 residents aged 18 and over"
