Year,Value,Series
2015,100.0,Proportion of population covered by at least one social protection benefit
2016,100.0,Proportion of population covered by at least one social protection benefit
2017,100.0,Proportion of population covered by at least one social protection benefit
2018,100.0,Proportion of population covered by at least one social protection benefit
2019,100.0,Proportion of population covered by at least one social protection benefit
2020,100.0,Proportion of population covered by at least one social protection benefit
2021,100.0,Proportion of population covered by at least one social protection benefit
2022,100.0,Proportion of population covered by at least one social protection benefit
2023,100.0,Proportion of population covered by at least one social protection benefit
2024,100.0,Proportion of population covered by at least one social protection benefit
2025,100.0,Proportion of population covered by at least one social protection benefit
