Year,Value,Series
2010,2,1. Number of local breeds kept in the country
2011,2,1. Number of local breeds kept in the country
2012,2,1. Number of local breeds kept in the country
2013,2,1. Number of local breeds kept in the country
2014,2,1. Number of local breeds kept in the country
2015,2,1. Number of local breeds kept in the country
2016,2,1. Number of local breeds kept in the country
2017,2,1. Number of local breeds kept in the country
2018,2,1. Number of local breeds kept in the country
2019,2,1. Number of local breeds kept in the country
2020,2,1. Number of local breeds kept in the country
2021,2,1. Number of local breeds kept in the country
2022,2,1. Number of local breeds kept in the country
2023,3,1. Number of local breeds kept in the country
2024,3,1. Number of local breeds kept in the country
2010,5,2. Number of transboundary breeds (including extinct ones)
2011,5,2. Number of transboundary breeds (including extinct ones)
2012,5,2. Number of transboundary breeds (including extinct ones)
2013,5,2. Number of transboundary breeds (including extinct ones)
2014,5,2. Number of transboundary breeds (including extinct ones)
2015,5,2. Number of transboundary breeds (including extinct ones)
2016,5,2. Number of transboundary breeds (including extinct ones)
2017,5,2. Number of transboundary breeds (including extinct ones)
2018,5,2. Number of transboundary breeds (including extinct ones)
2019,5,2. Number of transboundary breeds (including extinct ones)
2020,5,2. Number of transboundary breeds (including extinct ones)
2021,5,2. Number of transboundary breeds (including extinct ones)
2022,5,2. Number of transboundary breeds (including extinct ones)
2023,7,2. Number of transboundary breeds (including extinct ones)
2024,7,2. Number of transboundary breeds (including extinct ones)
2023,0,3. Number of local breeds for which sufficient genetic resources are stored for reconstitution
2024,0,3. Number of local breeds for which sufficient genetic resources are stored for reconstitution
2010,9,4. Plant genetic resources accessions stored ex situ
2012,11,4. Plant genetic resources accessions stored ex situ
2014,66,4. Plant genetic resources accessions stored ex situ
2016,94,4. Plant genetic resources accessions stored ex situ
2017,105,4. Plant genetic resources accessions stored ex situ
2018,121,4. Plant genetic resources accessions stored ex situ
2019,125,4. Plant genetic resources accessions stored ex situ
2020,127,4. Plant genetic resources accessions stored ex situ
2021,127,4. Plant genetic resources accessions stored ex situ
2022,127,4. Plant genetic resources accessions stored ex situ
