Year,Value,Units,Series
2016,79338,Number of calls,2. Total yearly calls to Freephone 153
2017,480049,Number of calls,2. Total yearly calls to Freephone 153
2018,533962,Number of calls,2. Total yearly calls to Freephone 153
2019,651466,Number of calls,2. Total yearly calls to Freephone 153
2020,949990,Number of calls,2. Total yearly calls to Freephone 153
2021,833418,Number of calls,2. Total yearly calls to Freephone 153
2022,755873,Number of calls,2. Total yearly calls to Freephone 153
2023,867450,Number of calls,2. Total yearly calls to Freephone 153
2018,1219092,Number of views,3. Total website pages views per year
2019,1976531,Number of views,3. Total website pages views per year
2020,2928623,Number of views,3. Total website pages views per year
2021,2504104,Number of views,3. Total website pages views per year
2022,2489986,Number of views,3. Total website pages views per year
2023,2608113,Number of views,3. Total website pages views per year
