Year,Value,Units,Series
2010,2597.0,Euro (millions),Total government revenue in local currency
2011,2708.0,Euro (millions),Total government revenue in local currency
2012,2871.0,Euro (millions),Total government revenue in local currency
2013,3081.0,Euro (millions),Total government revenue in local currency
2014,3408.0,Euro (millions),Total government revenue in local currency
2015,3783.0,Euro (millions),Total government revenue in local currency
2016,3971.0,Euro (millions),Total government revenue in local currency
2017,4527.0,Euro (millions),Total government revenue in local currency
2018,4970.0,Euro (millions),Total government revenue in local currency
2019,5203.0,Euro (millions),Total government revenue in local currency
2020,4784.0,Euro (millions),Total government revenue in local currency
2021,5402.0,Euro (millions),Total government revenue in local currency
2022,5952.0,Euro (millions),Total government revenue in local currency
2023,6559.0,Euro (millions),Total government revenue in local currency
2024,7818.0,Euro (millions),Total government revenue in local currency
2025,8554.0,Euro (millions),Total government revenue in local currency
