Year,Value,Units,Series
2012,17.5,Percentage,Proportion of elected seats held by women in deliberative bodies of local government
2013,21.3,Percentage,Proportion of elected seats held by women in deliberative bodies of local government
2014,21.7,Percentage,Proportion of elected seats held by women in deliberative bodies of local government
2015,22.6,Percentage,Proportion of elected seats held by women in deliberative bodies of local government
2016,22.4,Percentage,Proportion of elected seats held by women in deliberative bodies of local government
2017,21.9,Percentage,Proportion of elected seats held by women in deliberative bodies of local government
2018,22.0,Percentage,Proportion of elected seats held by women in deliberative bodies of local government
2019,26.3,Percentage,Proportion of elected seats held by women in deliberative bodies of local government
2020,26.3,Percentage,Proportion of elected seats held by women in deliberative bodies of local government
2021,26.3,Percentage,Proportion of elected seats held by women in deliberative bodies of local government
2022,25.2,Percentage,Proportion of elected seats held by women in deliberative bodies of local government
2023,26.0,Percentage,Proportion of elected seats held by women in deliberative bodies of local government
2010,8.7,Percentage,Proportion of seats held by women in national parliaments
2011,8.7,Percentage,Proportion of seats held by women in national parliaments
2012,8.7,Percentage,Proportion of seats held by women in national parliaments
2013,8.7,Percentage,Proportion of seats held by women in national parliaments
2014,14.3,Percentage,Proportion of seats held by women in national parliaments
2015,12.9,Percentage,Proportion of seats held by women in national parliaments
2016,12.9,Percentage,Proportion of seats held by women in national parliaments
2017,12.5,Percentage,Proportion of seats held by women in national parliaments
2018,11.9,Percentage,Proportion of seats held by women in national parliaments
2019,11.9,Percentage,Proportion of seats held by women in national parliaments
2020,13.4,Percentage,Proportion of seats held by women in national parliaments
2021,13.4,Percentage,Proportion of seats held by women in national parliaments
2022,13.4,Percentage,Proportion of seats held by women in national parliaments
2023,27.9,Percentage,Proportion of seats held by women in national parliaments
2010,6.0,Number of seats,Number of seats held by women in national parliaments
2011,6.0,Number of seats,Number of seats held by women in national parliaments
2012,6.0,Number of seats,Number of seats held by women in national parliaments
2013,6.0,Number of seats,Number of seats held by women in national parliaments
2014,10.0,Number of seats,Number of seats held by women in national parliaments
2015,9.0,Number of seats,Number of seats held by women in national parliaments
2016,9.0,Number of seats,Number of seats held by women in national parliaments
2017,9.0,Number of seats,Number of seats held by women in national parliaments
2018,8.0,Number of seats,Number of seats held by women in national parliaments
2019,8.0,Number of seats,Number of seats held by women in national parliaments
2020,9.0,Number of seats,Number of seats held by women in national parliaments
2021,9.0,Number of seats,Number of seats held by women in national parliaments
2022,9.0,Number of seats,Number of seats held by women in national parliaments
2023,22.0,Number of seats,Number of seats held by women in national parliaments
