Year,Series,Value
2017,"1. Countries that have legislative, administrative and policy framework or measures reported to the Access and Benefit-Sharing Clearing-House",1
2021,"1. Countries that have legislative, administrative and policy framework or measures reported to the Access and Benefit-Sharing Clearing-House",1
2022,"1. Countries that have legislative, administrative and policy framework or measures reported to the Access and Benefit-Sharing Clearing-House",1
2023,"1. Countries that have legislative, administrative and policy framework or measures reported to the Access and Benefit-Sharing Clearing-House",1
2021,2. Countries that are parties to the Nagoya Protocol,1
2022,2. Countries that are parties to the Nagoya Protocol,1
2023,2. Countries that are parties to the Nagoya Protocol,1
2016,"3. Countries that have legislative, administrative and policy framework or measures reported through the Online Reporting System on Compliance of the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA)",0
2017,"3. Countries that have legislative, administrative and policy framework or measures reported through the Online Reporting System on Compliance of the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA)",0
2018,"3. Countries that have legislative, administrative and policy framework or measures reported through the Online Reporting System on Compliance of the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA)",1
2019,"3. Countries that have legislative, administrative and policy framework or measures reported through the Online Reporting System on Compliance of the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA)",1
2020,"3. Countries that have legislative, administrative and policy framework or measures reported through the Online Reporting System on Compliance of the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA)",1
2021,"3. Countries that have legislative, administrative and policy framework or measures reported through the Online Reporting System on Compliance of the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA)",1
2022,"3. Countries that have legislative, administrative and policy framework or measures reported through the Online Reporting System on Compliance of the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA)",1
2023,"3. Countries that have legislative, administrative and policy framework or measures reported through the Online Reporting System on Compliance of the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA)",1
2015,4. Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA),0
2016,4. Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA),0
2017,4. Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA),1
2018,4. Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA),1
2019,4. Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA),1
2020,4. Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA),1
2021,4. Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA),1
2022,4. Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA),1
2023,4. Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA),1
2015,5. Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country,0
2016,5. Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country,0
2017,5. Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country,0
2018,5. Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country,0
2019,5. Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country,0
2020,5. Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country,0
2021,5. Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country,0
2022,5. Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country,0
2023,5. Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country,0
